sep=|
Step|Time[ms]|homGroupTrue|homGroupFalse|agreeTrue|hetGroup|voteFalse|agreeFalse|voteTrue
198|0,1927339784|0|0|841|10|34|420|66
199|0,1930675108|0|0|846|10|34|420|66
200|0,195887485|0|0|849|10|34|420|66
201|0,1974662318|0|0|856|10|34|444|66
202|0,1987663626|0|0|863|10|34|444|66
203|0,2005147962|0|0|876|10|34|444|66
204|0,200767548|0|0|884|10|34|470|66
205|0,2070815138|0|0|889|10|34|470|66
206|0,2092904658|0|0|903|10|34|480|66
207|0,2109068886|0|0|917|10|34|480|66
208|0,2124043223|0|0|934|10|34|488|66
209|0,2213285169|0|0|946|10|34|504|66
210|0,2219881499|0|0|955|10|34|504|66
211|0,222839378|0|0|958|10|34|504|66
212|0,2246530489|0|0|963|10|34|504|66
213|0,2274195552|0|0|970|10|34|504|66
214|0,2290341919|0|0|978|10|34|504|66
215|0,2292436309|0|0|987|10|34|504|66
216|0,2294273068|0|0|1001|10|34|504|66
217|0,2300441294|0|0|1016|10|34|514|66
218|0,2308130597|0|0|1031|10|34|530|66
219|0,2338178095|0|0|1036|10|34|530|66
220|0,2340032277|0|0|1044|10|34|530|66
221|0,234198397|0|0|1050|10|34|530|66
222|0,2360963191|0|0|1063|10|34|536|66
223|0,2362295706|0|0|1077|10|34|554|66
224|0,2384404869|0|0|1088|10|34|564|66
225|0,2398698894|0|0|1104|10|34|576|66
226|0,2409397635|0|0|1118|10|34|596|66
227|0,2423855375|0|0|1129|10|34|596|66
228|0,2428163323|0|0|1137|10|34|596|66
229|0,2434252426|0|0|1155|10|34|606|66
230|0,245188656|0|0|1173|10|34|618|66
231|0,2457872586|0|0|1191|10|34|632|66
232|0,2488712859|0|0|1195|10|34|632|66
233|0,2537604889|0|0|1203|10|34|632|66
234|0,2543420282|0|0|1219|10|34|646|66
235|0,2569565133|0|0|1240|10|34|662|66
236|0,2572123838|0|0|1254|10|34|662|66
237|0,2577643702|0|0|1265|10|34|674|66
238|0,261699413|0|0|1279|10|34|686|66
239|0,2635104592|0|0|1286|10|34|686|66
240|0,2641601503|0|0|1300|10|34|694|66
241|0,2651149007|0|0|1311|10|34|722|66
242|0,2657107549|0|0|1316|10|34|722|66
243|0,2703216746|0|0|1334|10|34|738|66
244|0,2708499098|0|0|1343|10|34|738|66
245|0,2716086289|0|0|1350|10|34|738|66
246|0,2716342545|0|0|1365|10|34|738|66
247|0,2718978542|0|0|1373|10|34|738|66
248|0,2739267454|0|0|1391|10|34|756|66
249|0,2754641798|0|0|1396|10|34|756|66
250|0,2759604234|0|0|1403|10|34|756|66
251|0,2761160799|0|0|1424|10|34|774|66
252|0,2769328245|0|0|1431|10|34|774|66
253|0,2772778902|0|0|1438|10|34|774|66
254|0,2786068197|0|0|1448|10|34|774|66
255|0,2815097061|0|0|1460|10|34|804|66
256|0,2829327392|0|0|1470|10|34|804|66
257|0,2873111836|0|0|1488|10|34|824|66
258|0,2876220137|0|0|1498|10|34|824|66
259|0,2913587184|0|0|1505|10|34|824|66
260|0,2933879928|0|0|1520|10|34|838|66
261|0,2946001757|0|0|1535|10|34|854|66
262|0,2965097411|0|0|1542|10|34|854|66
263|0,2997702788|0|0|1562|10|34|868|66
264|0,3008194068|0|0|1570|10|34|868|66
265|0,3009720289|0|0|1586|10|34|868|66
266|0,302304193|0|0|1594|10|34|868|66
267|0,3039872883|0|0|1601|10|34|868|66
268|0,3047145307|0|0|1611|10|34|868|66
269|0,3075823271|0|0|1621|10|34|868|66
270|0,3108332001|0|0|1632|10|34|868|66
271|0,3121191929|0|0|1637|10|34|868|66
272|0,3138943637|0|0|1656|10|34|884|66
273|0,3141657243|0|0|1667|10|34|884|66
274|0,316126781|0|0|1676|10|34|884|66
275|0,3162009245|0|0|1684|10|34|884|66
276|0,3169672833|0|0|1700|10|34|906|66
277|0,3183471047|0|0|1710|10|34|906|66
278|0,3210331395|0|0|1720|10|34|906|66
279|0,3221797238|0|0|1728|10|34|906|66
280|0,3229121655|0|0|1756|10|34|926|66
281|0,3256470317|0|0|1768|10|34|926|66
282|0,3274135469|0|0|1785|10|34|944|66
283|0,3307518738|0|0|1807|10|34|960|66
284|0,3356661999|0|0|1818|10|34|960|66
285|0,3363663263|0|0|1827|10|34|960|66
286|0,3370234808|0|0|1836|10|34|960|66
287|0,3378072827|0|0|1855|10|34|978|66
288|0,3395830485|0|0|1884|10|34|1000|66
289|0,3408023937|0|0|1889|10|34|1000|66
290|0,3419679365|0|0|1906|10|34|1020|66
291|0,3422236535|0|0|1935|10|34|1044|66
292|0,3423177253|0|0|1944|10|34|1044|66
293|0,3423784048|0|0|1955|10|34|1044|66
294|0,3432353537|0|0|1964|10|34|1044|66
295|0,3435904854|0|0|1980|10|34|1044|66
296|0,3437465484|0|0|1991|10|34|1044|66
297|0,3482938074|0|0|2003|10|34|1044|66
298|0,3495697007|0|0|2013|10|34|1044|66
299|0,3504700435|0|0|2024|10|34|1044|66
