Step,Time[ms],homGroupTrue,homGroupFalse,agreeTrue,hetGroup,voteFalse,agreeFalse,voteTrue
265,"0,0005842265",0,0,2097,7,36,1252,64
266,"0,0005852755",0,0,2107,7,36,1260,64
267,"0,0005859085",0,0,2097,7,36,1252,64
268,"0,0005878217",0,0,2107,7,36,1260,64
269,"0,0005925566",0,0,2097,7,36,1252,64
270,"0,0005946242",0,0,2107,7,36,1260,64
271,"0,000594683",0,0,2097,7,36,1252,64
272,"0,0005971109",0,0,2107,7,36,1260,64
273,"0,0005978264",0,0,2097,7,36,1252,64
274,"0,0006001978",0,0,2107,7,36,1260,64
275,"0,0006032326",0,0,2097,7,36,1252,64
276,"0,0006034852",0,0,2107,7,36,1260,64
277,"0,0006164714",0,0,2097,7,36,1252,64
278,"0,0006173482",0,0,2107,7,36,1260,64
279,"0,0006208337",0,0,2097,7,36,1252,64
280,"0,0006226065",0,0,2107,7,36,1260,64
281,"0,0006271928",0,0,2097,7,36,1252,64
282,"0,0006307835",0,0,2107,7,36,1260,64
283,"0,0006327275",0,0,2097,7,36,1252,64
284,"0,0006347246",0,0,2107,7,36,1260,64
285,"0,0006362013",0,0,2132,7,37,1390,63
286,"0,0006372771",0,0,2122,8,37,1382,63
287,"0,0006406515",0,0,2132,7,37,1390,63
288,"0,0006419685",0,0,2122,7,37,1382,63
289,"0,0006473052",0,0,2132,7,37,1390,63
290,"0,0006536359",0,0,2122,7,37,1382,63
291,"0,0006560139",0,0,2132,7,37,1390,63
292,"0,0006564546",0,0,2122,7,37,1382,63
293,"0,000657698",0,0,2132,7,37,1390,63
294,"0,0006579358",0,0,2122,7,37,1382,63
295,"0,0006600233",0,0,2132,7,37,1390,63
296,"0,0006618541",0,0,2122,7,37,1382,63
297,"0,0006626427",0,0,2132,7,37,1390,63
298,"0,0006656833",0,0,2122,7,37,1382,63
299,"0,0006662966",0,0,2132,7,37,1390,63
300,"0,0006663604",0,0,2122,7,37,1382,63
301,"0,000668781",0,0,2132,7,37,1390,63
302,"0,0006699292",0,0,2122,7,37,1382,63
303,"0,0006716278",0,0,2132,7,37,1390,63
304,"0,0006763486",0,0,2122,7,37,1382,63
305,"0,0006770082",0,0,2132,7,37,1390,63
306,"0,0006773501",0,0,2122,7,37,1382,63
307,"0,0006819989",0,0,2132,7,37,1390,63
308,"0,0006859319",0,0,2122,7,37,1382,63
309,"0,000686431",0,0,2132,7,37,1390,63
310,"0,000687909",0,0,2122,7,37,1382,63
311,"0,0006879965",0,0,2132,7,37,1390,63
312,"0,0006899396",0,0,2122,7,37,1382,63
313,"0,0006906856",0,0,2132,7,37,1390,63
314,"0,0006920199",0,0,2122,7,37,1382,63
315,"0,0006929747",0,0,2132,7,37,1390,63
